datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601482151.0	71.29756	58.84381	76.18475
1601482150.0	70.4511	60.65142	74.23961
1601482149.0	67.29781	61.5465	71.86252
1601482148.0	68.81553	64.3841	71.34355
1601482147.0	68.71896	65.81577	69.49992
1601482146.0	71.21125	67.74128	69.87558
1601482145.0	70.43513	70.26521	68.91764
1601482144.0	72.46466	72.21221	68.5527
1601482143.0	74.1332	70.34194	66.78279
1601482142.0	75.31151	67.11372	67.6235
1601482141.0	76.1307	65.62224	64.55463
1601482140.0	77.4267	65.35606	65.42099
1601482139.0	76.81504	63.07386	65.20103
1601482138.0	75.93469	63.83149	63.49287
1601482137.0	75.06336	59.19076	63.61028
1601482136.0	75.6492	61.53836	64.7152
1601482135.0	71.87434	60.15758	64.69127
1601482134.0	72.96344	60.79872	63.34862
1601482133.0	74.02283	60.24349	65.39272
1601482132.0	72.63854	60.05817	64.38396
1601482131.0	72.15179	59.49337	60.26196
1601482130.0	72.86763	60.94159	61.74061
1601482129.0	73.86835	58.11789	61.49158
1601482128.0	77.72988	61.5056	64.21125
1601482127.0	82.00047	61.84902	63.49542
1601482126.0	83.55056	62.07906	64.10545
1601482125.0	82.9733	62.24395	64.59093
1601482124.0	82.47221	62.66639	63.76822
1601482123.0	80.51519	65.35987	66.4511
1601482122.0	76.41882	65.59611	65.71307
1601482121.0	76.12431	62.38494	65.6132
1601482120.0	73.58511	62.32712	67.91698
1601482119.0	72.3023	62.31736	68.62036
1601482118.0	74.13566	62.64053	69.08937
1601482117.0	70.91296	60.67737	69.26012
1601482116.0	71.27486	61.68982	72.35786
1601482115.0	69.82135	59.27985	71.26023
1601482114.0	68.6774	60.72171	71.83664
1601482113.0	69.45251	60.51179	72.9192
1601482112.0	68.85367	59.17926	71.36274
1601482111.0	67.97768	60.04173	75.67895
1601482110.0	66.23193	59.9587	74.99815
1601482109.0	65.34447	60.40825	76.47739
1601482108.0	65.66811	60.66201	80.82074
1601482107.0	68.48656	59.63258	81.49356
1601482106.0	68.60873	59.78005	80.84908
1601482105.0	64.81805	57.43771	77.44402
1601482104.0	67.06049	58.20581	74.88984
1601482103.0	69.12566	60.33861	74.90402
1601482102.0	68.93076	61.33286	74.67826
1601482101.0	70.4999	62.73129	70.75897
1601482100.0	70.19157	64.06773	69.27486
1601482099.0	70.78362	67.01788	69.94408
1601482098.0	72.37405	70.47356	72.54147
1601482097.0	71.85091	72.48281	70.0918
1601482096.0	73.49355	73.1321	66.99175
1601482095.0	73.507	71.31278	66.80727
1601482094.0	76.20731	68.75246	66.79735
1601482093.0	75.64408	65.8998	65.4202
1601482092.0	76.56397	65.55493	66.68297
1601482091.0	76.03692	62.16354	65.81856
1601482090.0	76.98345	60.06142	65.44524
1601482089.0	74.55835	60.81223	64.16904
1601482088.0	73.51295	59.68125	65.82755
1601482087.0	74.40497	60.14472	65.18742
1601482086.0	73.8569	60.63332	63.5836
1601482085.0	73.22119	60.51601	66.55413
1601482084.0	73.33753	59.24778	66.18801
1601482083.0	72.78049	59.80074	66.10133
1601482082.0	71.60474	58.90499	63.77761
1601482081.0	72.9492	57.81701	61.4892
1601482080.0	73.96949	57.44376	63.71291
1601482079.0	76.60201	59.67023	62.24862
1601482078.0	79.97398	57.92951	62.17582
1601482077.0	81.86792	61.08795	63.09306
1601482076.0	83.34931	61.94096	63.95271
1601482075.0	81.86811	62.65732	64.88288
1601482074.0	80.13147	65.78354	64.72871
1601482073.0	78.92596	64.75551	63.84173
1601482072.0	74.21987	64.29425	66.28973
1601482071.0	73.13889	62.21758	68.07214
1601482070.0	73.30297	65.14032	69.23448
1601482069.0	71.35133	62.22865	67.43927
1601482068.0	72.13441	63.16592	67.60732
1601482067.0	68.26514	60.15397	68.03538
1601482066.0	71.6228	62.09415	71.62818
1601482065.0	67.05997	58.93533	71.42516
1601482064.0	69.60012	60.86202	70.43061
1601482063.0	69.20496	58.38271	70.62804
1601482062.0	70.42354	60.23013	73.68203
1601482061.0	70.12389	59.94553	73.17004
1601482060.0	69.7286	62.40575	73.40737
1601482059.0	68.86159	60.79757	74.22057
1601482058.0	66.88683	59.1456	76.85384
1601482057.0	68.43082	61.24769	80.73129
1601482056.0	67.74934	60.14228	80.94403
1601482055.0	66.69421	58.54893	77.40977
1601482054.0	66.26494	57.58369	77.31168
1601482053.0	64.19331	57.44522	75.77833
1601482052.0	64.59815	58.36114	75.65527
1601482051.0	66.75586	59.09225	73.30269
1601482050.0	66.05968	61.32445	71.97687
1601482049.0	68.01229	63.0992	71.67464
1601482048.0	69.98748	64.87128	69.13703
1601482047.0	68.32739	67.2937	70.3805
1601482046.0	69.40735	72.18146	68.50275
1601482045.0	72.20955	74.80414	67.15707
